geojson_name,best_partial_match,partial_score
0847870 BC LTD,CAN FOUNDATION (1000847470),48.78048780487805
1 GOODRICH PORTFOLIO INC,GODERICH MINOR SOCCER INC. (1000410519),53.968253968253975
10 OVERLEA DR (KIT) LTD,ARTS ORILLIA (1936830),48.88888888888889
10 SOUTH CREEK INC,SOUTH GATE CENTRE INC. (108806),69.38775510204081
100 AHRENS ST LTD,DAUGHTERS OF ST. PAUL (101305),55.319148936170215
1000001235 ONTARIO INC,CCGA ONTARIO (1000144352),72.34042553191489
1000002286 ONTARIO LTD,LIPEDEMA ONTARIO (1000846932),66.66666666666667
1000006933 ONTARIO INC,KIZONTO INC. (1001090893),68.08510638297872
1000008388 ONTARIO INC,KIZONTO INC. (1001090893),68.08510638297872
1000010398 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000011093 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000020918 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000021133 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000021254 ONTARIO INC,DLHC ONTARIO INC. (1000721296),73.07692307692308
1000024502 ONTARIO INC,CCGA ONTARIO (1000144352),72.34042553191489
1000032901 ONTARIO LTD,LIPEDEMA ONTARIO (1000846932),66.66666666666667
1000033595 ONTARIO INC,CCGA ONTARIO (1000144352),68.08510638297872
1000035672 ONTARIO INC,CCGA ONTARIO (1000144352),72.34042553191489
1000037285 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000038021 ONTARIO LIMITED,LIPEDEMA ONTARIO (1000846932),69.0909090909091
1000050753 ONTARIO INC,1707115 ONTARIO INC. (1707115),69.23076923076923
1000053723 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000062605 ONTARIO CORP,AFOA ONTARIO (1001222609),66.66666666666667
1000066438 ONTARIO INC,CCGA ONTARIO (1000144352),68.08510638297872
1000072250 ONTARIO LIMITED,522984 ONTARIO LIMITED (522984),66.66666666666667
1000074379 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000084801 ONTARIO INC,NWAR INC. (1000845251),68.18181818181819
1000085519 ONTARIO INC,NWAR INC. (1000845251),72.72727272727273
1000088602 ONTARIO INC,MUSICONTARIO (1001138808),68.08510638297872
1000090448 ONTARIO INC,CCGA ONTARIO (1000144352),68.08510638297872
1000096291 ONTARIO INC,DLHC ONTARIO INC. (1000721296),69.23076923076923
1000100206 ONTARIO INC,DLHC ONTARIO INC. (1000721296),73.07692307692308
