BN/Registration number:	Organization name:	Status: 	Type of qualified donee:	Effective date of status:	Sanction 	Designation: 	Charity type: 	Category: 	Address:	City:	Province, territory, outside of Canada:	Country:	Postal code/Zip code:	
733132559RR0001	Al-Hayaat School	Registered	Charity	2025-02-27		0001	Advancement of Education	0010	158 NEWBURY DR 	KITCHENER	ON	CA	N2N2N8
107273666RR0002	EASTERN SYNOD OF THE EVANGELICAL LUTHERAN CHURCH IN CANADA /SYNODE DE L'EST DE L'EGLISE EVANGELIQUE LUTHERIENNE AU CANADA	Registered	Charity	1967-01-01		0002	Advancement of Religion	0030	74 WEBER ST W 	KITCHENER	ON	CA	N2H3Z3
106880115RR0001	CAMINO WELLBEING + MENTAL HEALTH	Registered	Charity	1967-01-01		0001	Other purposes beneficial to the community	0160	400 QUEEN ST S 	KITCHENER	ON	CA	N2G1W7
106705338RR0001	ALZHEIMER SOCIETY WATERLOO WELLINGTON	Registered	Charity	1987-11-01		0001	Other purposes beneficial to the community	0100	831 FREDERICK STREET 	KITCHENER	ON	CA	N2B2B4
119110450RR0139	ST. BRIGID MISSION	Registered	Charity	2003-10-21		0001	Advancement of Religion	0030	305 LAURENTIAN DR 	KITCHENER	ON	CA	N2E2N6
868958356RR0001	MENNO SINGERS	Registered	Charity	1992-06-01		0001	Other purposes beneficial to the community	0190	15 FAIRVIEW AVE 	KITCHENER	ON	CA	N2H3E7
868308750RR0001	BRUSH WITH ART INC	Registered	Charity	1999-08-24		0002	Other purposes beneficial to the community	0190	94 WINDRUSH TRAIL 	KITCHENER	ON	CA	N2P2B3
867719437RR0001	COMMUNITY HEALTHCARING KITCHENER-WATERLOO	Registered	Charity	2000-04-12		0001	Other purposes beneficial to the community	0100	44 FRANCIS STREET S 	KITCHENER	ON	CA	N2G2A2
865021083RR0001	Kitchener-Waterloo Children's Drama Workshop	Registered	Charity	2009-02-09		0001	Advancement of Education	0012	844 FREDERICK ST 	KITCHENER	ON	CA	N2B2B8
863730180RR0001	THE JOURNEY CHRISTIAN REFORMED CHURCH	Registered	Charity	2005-02-24		0001	Advancement of Religion	0030	90 BURBANK RD 	KITCHENER	ON	CA	N2B1E2
